Title,Review,Rating
Wow! edge on the seat viewing,"The show captures the essense of Formula 1. The rivalry between the teams and the financial problems that comes with it. I am very upset and dissapointed about the wrongly used video messages along with made up rivalries but as the source that got me interested in Formula 1, this series cannot get a lower than 9 from me.",9
Mixed Feelings - Needs Change,"As soon as you watch first episode you cannot stop there. Formula 1 fan or not, you should watch it for amazing production.Hope they are working on second season too.",9
Not for F1 fans,"Very little of Hamilton and Vettel, this series shines a light on the mid and back of pack teams, the personal battles to hold their seats and the teams fighting for Constructor points. Watching the TV feeds on Sunday you miss a lot of this. Lots of slow motion crashes, cursing and serious managers. Good series to get more into the racing, as focussing on the Mercedes team constant success at the front is too limiting.",10
Pretty Good,How can one talk about Formula 1 without the two top dogs of the competition?,8
Netflix finally strike documentary gold,I wasn't into F1 at all before watching this . It's nice to learn what goes on behind the scenes and how much prep and work the drivers have to do . Once you've watched one episode your hooked,8
Brilliant series. Great story telling with sound editing to match it.,"Over the years my interest in F1 has somewhat faded, the predictable results boring races and the never ending politics.What I really enjoyed was the series focused on the teams in the middle and back of the grid where every point gained is meet with as much joy as the winning teams.
F1 can be a brutal business with just 20 seats up for grabs, and a cue of young aspiring drivers desperate to get the chance of a drive.Despite there undoubted wealth you can sense genuine emotion and pain when a driver knows he has not performed well to retain his drive. This is a side of F1 we don't normally see on TV when the drivers team owners give there usual post race interviews. 9/10",9
Great look at the midfield,"All you need to become F1 fan, which I must emphasise I never been. But, after watching this show, I truly am. It's got everything insight, history and thrill.",9
9 stars coz no Hamilton and Vettel,"Really Awful... this is F1 to you? The entire documentary it was about gossips and eye for an eye. Last year we watched the best Championship ever and yet the creators of this awful thing chose to make a show who reminds ""Big Brother"" (Remind you that the world champion of 2021 Max Verstappen refused to speak as well -after he watched season 1-) Doesn't deal with the racing part almost at all. Definitely it has choosed side and this is something really frustrating and unacceptable. And... omg 😲... where are the rest of the drivers of the grid???? At least 10 of 20 drivers are missing! World champions like Fernando Alonso!Again... Awful 😖
If I could give 0 points I would!",10
Very good,"I've been a huge fan of the show since the very first episode, and I just love how well the drama around the tracks is told. They could've erased all the F1 footage and still have a superb production, because the storyline is absolutely fantastic. If it was scripted it couldn't have been any better. But this is real life, real drivers, real events, real make or break stories, real lay offs of real drivers when they're as bad as ""only"" being at 11-20 of the best F1 drivers in the world. It's very emotional at times and I find myself sobbing at times. Even my wife who doesn't care one bit for motor sports sat there crying and said ""let him win, please let him win"".
The extra dimension of the series is recognizing almost every track they're on, since I've also always loved racing on the computer, and now I play Real Racing om my phone. That makes it even more exciting.
Thank you Netflix, from the bottom of my heart, thank you, for producing the highlight of the year, for the last three years.",6
Surprisingly good,"Every season was amazing to watch.. thank you Netflix for releasing this and the drivers / principles and teams for such fantastic and honest stories. I am now a huge Lewis Hamilton and Valtteri Bottas fan, what amazing professionals. I cannot wait for the next but until it releases, I'm going to watch the races now.",1
F1 in a nutshell,"This production manages to find interesting stories in a sport that has been boring for so many years. That's quite a feat.Formula 1: Drive to survive totally leaves out the race for the championship, because it is no race at all with Mercedes being so dominant. It's sad that it has to do that, but it's a very intelligent decision. The stories of 2nd and 3rd tier teams like Renault, Haas and Alfa Romeo are way more enticing. The production also highlights some of the lesser known drivers that might be up and coming.All in all a very compelling series that is not about the winning team.",10
Does not do justice to the sport. Formula 1 deserves better.,"I never watched formula 1. Only saw it on the news. However this Netflix series really drags you into the sport. It's done in such a way where you truly get to know the inner parts of the sport. It makes it very interesting and you end up showing a lot of respect to the engineers, crew and the drivers. So much effot goes into this.The series is like watching the races in fast forward with drama.",10
Just horrible..,"It is not a series aimed at the audience that follows Formula 1 closely. It does not have a regular and flowing plot, and has an incredibly amateur narrative style. The biggest disgrace is that in the 3rd season, not even a single image or word of the best race of the season, the race in Turkey where Hamilton declared the championship, was included. It can be taken a look at for those who want to learn general information about Formula 1, but overall it is an empty series. It seems like a waste of time to me. Can you watch it? Yes, of course, those who are passionate about racing can watch it. Then, have a good time watching it.Well.",9
Racing and drama,"This F1 documentary is extremely intense. Each episode is gripping and draws attention to the intricacies of Formula 1 racing. Everything from losing weight 2 hours before the Singapore Grand Prix, to the perilous collisions, never knew F1 could be this heated. Definitely sparked my interest in F1!",10
Completely New To F1.. Now Very A Big Fan Of F1,"Season 6 seems a little flat compared to previous years, but still a great show to see some of the behind-the-scenes action in F1. Considering that Red Bull dominated the season, the only drama they were able to dwell on was the battle for second place in the constructor's championship. I was surprised that they didn't spend much time on the poor performance of Checo Perez, and all the speculation that came along with that during the season. The contrived and manipulated in-race ""coverage"" and out-of-context radio messages are annoying. However, the greatest disappointment that really tainted this season was the incomprehensible decision to trot out Danica Patrick for commentary. A rodeo clown who had been kicked in the head one too many times would have been a better choice.",8
Captivating,"Season 6. It's not as bad as some of the reviews on here make it out to be. The Williams/Haas episode is great. As is the one on McLaren. Nothing wrong with the episode on De Vries/Ricciardo. Or the one on Alpine and the relationship between their drivers is boring, but that happens. The Toto / Hamilton episode is mostly cringworthy. As is the Aston Martin one.The few bits of insight into the media spin of McLaren and Mercedes and the driver's non-verbal reaction to that are a highlight! But.... the elephant in the room is the missing episode on Red Bull. And thus, the story of the season (records broken left and right) is completely missing from this series. Which is a big negative for me.Perez's brilliant start and then slump, Max's turnaround after a disappointing start.. none of it. Seems like an alternative reality. Too bad. That episode should have been made.",10
Never watched formula 1. But this is a masterpiece.,"To begin with, season 1-3 was absolutely amazing.But Season 4 is bad. Very bad. There is no ""real"" chronological order that's easy to follow.Jumping back and forth between the same races multiple times. Like Bahrain, and Monaco.Seeing Leclerc's gearbox fail in 3 episodes gets boring really fast. Etc, etc.Not to mention the bias against RedBull. I myself is a huge Mercedes fan. But the bias never ends and it gets annoying tbh. Seeing the interviews with Christian Horner, Susie & Toto Wolff every 5 minutes is just frustrating.DTS should have kept the same format as Season 1-3. Following 1 team for 2 races per episode.",8
well,"This is exactly what F1 needed. Thanks to Netflix I am a returning fan after having stopped watching F1 mid 2000s'What I like the most about this TV show is that you actually get to know the drivers, principals, how they feel and how much pressure they go through.It is an incredible competitive doco/drama and very glad they managed to get Mercedes and most teams onboard. You'll see Hamilton quite a fair bit as well as RedBull.Thanks F1 for agreeing to be filmed for Netflix!!!",8
A high intensity sports documentary..,"What a great docu series. I fell out of love with f1 a few years ago as I felt it had gotten boring , but this behind the scenes series focusing on a few key drivers and teams managers is gripping and superb and I will watch the F1 again with renewed focus. Well done netflix ! This is excellent stuff",7
Season 6,"I have never been interested in Formula 1, but I got addictive to this show. Getting to know the business, knowing the teams and getting to know the drivers. Seeing the struggles and what's going on behind the scenes was very interesting. And every episode ending with a race makes you almost feel your one with the drivers. Just simply amazing, can't wait til next season comes out!",1
Top-Quality Sports Documentary,"Stumbled upon this series in season one on a recommendation from another non racing fan. Binge watched it and became obsessed. Such a great series and captures the emotion, egos and drama perfectly! Love this series and can't wait till next year!",10
"Nice, but for the elephant in the room. (or more accurately, the red bull)","I'm a female that has never watched formula 1 previously. I watched all 3 seasons over the weekend.I enjoyed it immensely.You begin to understand, the teams, rivalries and before long you'll find yourself screaming cheering on a certain driver.I'm a total fan now! 😂 Enjoy!!!!",10
"S1-3 was great. S4 was biased, and out of context.","Wow what's this? 58-year-old female with no car interest whatsoever, if it's not electrical, gets hooked on this series? Well, they must have done a good job then right? And, they have! This is absolutely amazing. I've learned so much so I'm gonna watch the 2021 formula 1 series on cable this year. It's exciting, informative and you get it all: blood, sweat and tears. And, for sure, you get your favourites to cheer on.",10
Incredible and Sensational,"Never had interest in F1 of any kind and watched this on recommendation of family who are F1 fans. So I said why not. My god I'm addicted, what goes on behind the scenes, the highs and lows of the drivers and their teams. So much goes in to every race and what struck me is so much musical chairs with drivers if not performing straight away. It's a tough tough business but so much respect to the teams on the whole.. love it and yes I sat down watched my first F1 yesterday. ADDICTED Now.",10
Wow,Outstanding series. It is entertaining and engaging from both a technical perspective of the sport and the personalities involved. I will be watching F1 racing.,9
I got addictive!!,Do yourself a little favour and watch this. It's truly an excellent piece of work.,10
Zero interest in F1- but WOW,"Loved the first 2 season but new from season 3 and forward it is no good. In season 5, Vettels departure is not mentioned. A for time World Champion just ignored. A man who has been one of the most significant driver for the last 15 years, just ignored. Thats a f#@ing scandal.Lots of focus on all the wrong battles and lacking of structure. Change directors/producers and start over. As a fan of F1 for 40+ years this is not F1, this is reality-tv at its worst. Cant belive these guys made one of the best sport documentry of all times, Senna.Start over, get some dedicated and skilled people back and just start over...",10
Brilliant,This show really puts you behind the scenes and in the drivers' seats.Try to see it in full HD and surround sound if you can!,10
The thrill!,"I never watched a Formula 1 race beforehand or had any interest in it whatsoever, but this series really transformed me into a huge fan!",6
Addicted,"I wouldn't be surprised if F1 fan base increases because of this series.Classy, dramatic and exciting.",3
New F1 fan,"I love this series and have seen every episode. Season 4 seems to really highlight the complete lack of emotional intelligence and self awareness of Mercedes leadership and Red Bulls. They both come across as total douche bags. The on again, off again face diapers of drivers and management is laughable.",9
Probably the best series ever,"We were hooked from start to finish. We didn't know anything about F1 - the drivers, how it works, the politics, the money, the danger. But this series is so well produced that it shows you a real in-depth look at F1. Now we know all the teams and the drivers we're F1 fans and can't wait for the rest of the 2021 races!",9
"Season 5, what a disappointment...","Super addictive show
I got hooked on F1 thanks to thisGreat editing and storytellingMy only issue is that they are a full season behind
So anyone can just read the results without watching
This show would be so much better if it was released the day or week of the race.",9
"Fine PR tool, but understand that it does NOT teach you about F1; over-dramatization is fine I guess, but completely made up stories and facts are not","Not a season review, it is only about Spa, British, Monza and Sakhir GP.",8
Excellent 3 seasons!,I can't believe they managed to make something so boring out of the most amazing F1 season. I've been waiting for the premiere for months and I can't believe this. Checo Pérez has 30 seconds on the season and Tsunoda has a whole chapter. WTF seriously... no disrespect but who cares about Tsunoda? I can't believe this.,8
Great series,"Its funny how perfectly tactful constructive criticism of 'Black Panther' gets taken down 3 times in a row, but I write ""unbelievably gay"" about formula 1 and imdb doesnt care at all. This was a test.",9
Brilliant,"Whether you're an F1 fan or not, this series is amazing! There is so much going on in the F1 world.. so much drama and competition this series captures it all in such an entertaining way! Would highly recommend watching it!",9
F1 > NASCAR,"Valtteri Bottas' eyes are incredibly beautiful!! The cameraman did a superb job! I secretly hope that one day he will be in a film or drama...
Both his unwavering belief in himself and his qualities as a driver are admirable, in him opinion. I was so engrossed in the third episode that I couldn't move on to the next one.I love the DTS. Despite the adaptations, this is a great series that makes Formula One more accessible. How many people who weren't interested in Formula One have changed their view of it after watching the DTS? I think that's fantastic and it shows the success of the series. Everything comes from an opportunity!I'll be even happier if we see more Bottas in the next season!",9
Douchebaggery in Face Diapers,"Whether you are a die-hard formula 1 fan or someone who has never heard of formula 1 before, I think you will highly enjoy this show.",7
"I never knew a thing about F1, now I know everything!",This series made me a F1 fan what else is there to say!!!,5
"Meaningless lives, useless goals, but good entertainment.","This show would be so much better if it had a strong narrator. I guess the creators never watched ""Hard Knocks"" and how much Liev Schreiber adds to a sports documentary, giving you the necessary background and scope on what you are seeing.",9
This show needs to be released at real time,Really enjoyed seeing everyone as they really are. One question. Why oh why do Williams carry on? They will lose George as a driver if they cannot give him a decent car. Then what? I think it's really time they gave up.,9
Terrible 3. Season,"It's showed non fans why it isn't just cars going round in a circle and Hamilton winning every race. But they have made some of the moments out to be more dramatic then they actually are by using a clip from one lap, commentary from a different lap and then radio messages from another completely different lap. If you're thinking of watching it, then by all means do, it's a good way of getting into it, but don't take it too literal.",10
So disappointed on season 4,"Season 4 acts as a podcast for the british establishment. Will Buxton loses all credibility.Awful protagonism for Lando Norris, George Rusell, Lewis Hamilton, Valtteri Bottas and Daniel RicciardoYou only hear Mercedes side of the Story.Season 2021 had so much potential for an excelent season, im really dissapointed.Definitely not watching season 5.",10
Unbelievably Gay. (Relax and just read it),"I love this show. Seasons 1-4 were excellent, I gave it a rating of 10 and have seen them like 4 times!!! I became a fan of formula one and have watched every race live from the last 2 F1 race seasons. Unfortunately, season 5 of DTS has been a huge disappointment. First, need more episodes, there are more races and a lot of content to cover. Second, some MAJOR moments were not covered at all and DTS WASTED an ENTIRE episode on Yuki Tsunoda, with too much of his childish behavior. I struggled to stay interested in season 5 because it was so boring. This show has brought F1 to the attention of America and we love it. Netflix, please do better with season 6.",10
Brilliant behind the scenes!,My personal opinion season 5 is one of the best seasons so far. Still a bit to dramatic but I think they have learned from the critical reactions over the past seasons. The dramatics is imho not to hindering like past seasons.I think season 5 is pretty good for newcomers to the formula 1. Without giving spoilers. For veterans it has a bit behind the scenes footage that I found interesting.Overall. Season 5 gives a more honest and realistic review about the formula 1 than past seasons. Perhaps the previous boycot from Verstappen helped in that way.1 tiny complaint; the image footage overall seems a bit to dark.,10
LOVE IT!,"Not only is this one of the finest filming I have seen in a docu-series, Formula 1: Drive to Survive holds and even heightens the excitement of Formula 1. I haven't watched Formula 1 in about 7 years and thought because of that this series wouldn't appeal to me. Little did I know this fantastic show would make me more excited for the upcoming 2019 season that I will forsure be watching. What a ride and what a show 10/10 would recommend.",10
The beauty in Valtteri Bottas' eyes also shows his inner beauty.,"I used to watch f1 as a kid but then stopped. Now I came back to watch this and found myself loving it again. It does a really good job getting you to feel the pressure the drivers, the team and the companies have to go through to be in this extremely exclusive sport.",8
Awesome Look Into Formula 1,"I really enjoyed watching this one. To see at least a glimpse of how hard is to be successful in F1 and struggle of underdogs and financially inferior teams to compete against Ferrari and Mercedes. At first I was really disappointed because Ferrari and Mercedes didn't want to be a part of this, but now I'm glad because entire series would probably be about them. But it's really sad to see that everything is about money. Money comes first, and talent second unfortunately. I really felt sorry for Esteban Ocon and how he was pushed out from Force India because of Lawrence Stroll and Carlos Slim. He showed so much in 2018 and deserved the seat, but who cares if he doesn't bring money into the team. On TV you don't get the whole picture of what is going on in the back and you can't see the amount of pressure that these guys has to put up with. Every mistake, every crash, every bad decision could be your last and to be replaced with another driver is easier than we all think. Only few have the privilege to make mistakes and not feel the consequences. If you like motosport you're gonna like this one.",7
Before watching this Formula 1 was just another sport I didnt watch but...,I would watch this just for the visuals. Omg this makes my 4K tv worth it. Besides that - never been a huge F1 fan. However after a friend recommended this I am digging it. Great production. Great filming. Great story lines. Great racing.,3
This show would be so much better if...,The Formula 1: Drive to Survive series is an F1 fans dream thing to watch. It gives a real insight into what goes on behind the scenes off the track. It gives you exclusive viewing access into some factories of the Formula One teams.Formula 1: Drive to Survive really fits the term 'documentary' as it documents the season in a race by race format. The codes and conventions of sports documentary's are clearly shown in this series. POV shots are used to good effect as it shows the racing from the drivers onboard camera of their car.If you are massively into Formula One I would absolutely recommend this series to you.,10
A lot of insight.,When you finish watch it you will not stop asking for the begining of the racing season,10
Overdramatised but good.,"Ive enjoyed the first seasons of DTS, yes, it has always had that component of drama but always appealing to truthfulness, this season they just decided to make stuff up for the sake of a poor written drama, and as an F1 fan that makes me sick. More of a fiction than a documentary series.",10
Really biased show,"They will tell you that Drive to Survive is a show that brings to you the behind the scenes of Formula 1. That is not true, drive to survive manufactures narratives and creates bias against other drivers. It is a tool used to spread toxicity and further narratives. The aim of the show is to promote F1 through hatred and toxicity. Should be cancelled.",9
Seasons 1-4=AMAZING but Season 5=BORING,A great binge fest. Gets right to the nitty gritty. Well done Netflix. Let's have more of this kind of fly on the wall series. Couldn't wait for the next episode. The highs the lows the drama the politics it's all here.You have to feel for the teams at the back of the grid. The professionalism and strength to keep going is admirable. The pressures on everyone is mind boggling but the rewards are high. A great insight to the drivers and teams.Huge respect. How anyone can be negative about this series is beyond me. Good luck to all for the upcoming season 2024. Let's hope for a nail biting finish. 5 stars.,10
Season 5 (2022) aired in feb 2023 so much better,...the lack of Mercedes and Ferrari coverage; they declined to participate but will be part of 2019.,10
Holy Moly what a ride,"The commentary becomes a joke because the guy who used to commentate on some motorsport who does a lot of the race commentary in season 2 and has obviously been added afterwards sounds like he is commentating in the 70's or 80's through ancient equipment! The attempt to make it sound like actual race commentary has been an absolute failure, 70's & 80's commentary sounds clearer in fact. Only one other major fault and that is the fact they make some of the coverage look and sound so cheesy, just leave the sky F1 commentary as the sole commentary and don't add commentary afterwards and try to make it seem like that was what everyone's main focus was at the time and stop making it sound like a budget 80's Murray Walker and take some of the cheesiness out of some of the coverage and it would make something that is very good into something exceptional in my opinion.",9
